10ba2017121423130_4184996623265619|不抱太大的希望，尽最大的努力，该干什么就干什么。 ​​​​
92331008939_iTB70z09i6ZW5w+RV/DlGA==|生肖蛇\n属蛇的人，今年过的还是非常苦的，而且在今年也遇到了很多的烦心事，整天都在操劳。15号开始喜事连连，横财大发800万，桃花旺，事业突飞猛进，并且在转运之后的属蛇人必定会发大财，而且在事业上也会有很多大的成就，从此不在遭罪！\n生肖鼠\n属鼠的人，15号开始喜事连连，横财大发800万，桃花旺，事业突飞猛进！属鼠的人福气也是非常多，而且属鼠的人财运很好，在踏入社会之后属鼠的人很快就会有固定的收入。而且在未来10天属鼠人的财运更加好，一定会发大财，变的比地主还有钱！\n生肖狗\n属狗的人，为人忠诚，贵人缘旺。在今年的运势虽然不是很好，受到害太岁的影响导致，生肖狗这一年里遇到了不少麻烦。但是在接下来的15天里，生肖狗却会迎来一场横财之运，15号开始喜事连连，横财大发800万，桃花旺，事业突飞猛进，好运连连，鸿运当头，一夜暴富变大富翁，天天有横财、天天赚大钱。\n1
f2961000812_4xYWsoB7njhjbheur8qq4w==|12月15日报道，12日，家住成都棕树南街伊甸阳光小区的王先生遭遇这样一件事：小偷疑似拆下其爱车的gps和车载电脑后盗车未果，将设备丢在车里。据汽修店初步报价，此次修车费用至少需要3.4万余元。对此，小区物业表示早已向业主贴出免责告示称“只供场地不负责安全”，另一方面又承认保安有过失，最多愿出2万元修理费。而王先生并不接受这一赔偿数额。图文：封面新闻 “你的车昨晚被撬啦！”12日早上8点，王先生，被物业的电话惊醒。他的路虎就停在小区的停车场内，“我第一反应只是以为车窗被拆了”。然而，亲眼看到车子的“惨状”，他傻了眼：4块车窗玻璃被全部卸掉，防盗电脑、车身电脑和gps也被拆了。拆下的设备，整齐地放在车内。“可能是小偷没能破解防盗芯片，盗窃未遂。”王先生猜测。 据介绍，这辆路虎车是他在2014年以127万元的价格购买的。平时，他都会把车停在楼下的停车场，每天10元。事发时，车就停在保安亭的旁边，中间仅隔着一辆车。当天中午，王先生在南站地区派出所报了案。15日上午，记者从受理警察处了解到，目前已立案调查。 12日上午，王先生向小区物业提出赔偿，得到的答复是“先检测报价再说”。由于防盗系统遭破坏，车子的方向盘被锁死，王先生只能先叫人把方向盘拆了，再找五六个人合力把车子推到最近的汽修店。根据汽修店的检测报价，车子共有18处损坏，修车需花费34848元。“车子通电后，可能还会发现新的损坏，花费只会比这个更高。”该汽修店的左师傅说。 “我们早就在小区各处贴了告示，说明我们的停车场只提供位置，不负责保管，不承担车辆任何损毁和遗失的责任。”15日中午，记者来到小区物业管理处。面对索赔，范经理回答。不过紧接着，他又承认停车场保安有过错。据介绍，该停车场只有50多个车位，配备一名保安24小时巡逻。“这么小的停车场，小偷拆了这么多东西保安都没发现，肯定有问题。”范经理说，他们会把保安开除，以后也会加强安全管理。对此，律师夏畦凇认为，上述说法并不成立。“这属于单方面免除物业一方的责任，本身就无效。”夏畦凇说，“车子停在保安亭旁都能被盗，物业也承认保安失职，所以他们肯定是有过失的。”至于责任承担多少，则需要法院来认定，“如果双方协商未果，就只能走法律途径”。
75941008939_UovFiRIu327tXztr52DwOA==|慢性前列腺炎是一种发病率较高且让人非常猜疑的疾病,因为其病因、病理改动,临床病症庞大多样,少数医治方法的结果不抱负,又因为社会上大批不实宣扬及很多医疗机构的不正轨诊疗和误诊误治,招致很多慢性前列腺炎患者久治不愈,严重地影响了患者的生存质量,给他们的精力和精力形成极大损伤。\n怎样判别本人能否得了前列腺炎呢？这7个旌旗灯号，80%的人都不知道。\n1、排尿有力\n这也是因为前列腺抱病时，膀胱逼尿肌得到代偿才能而惹起的。排尿时，不克不及立即将尿液排挤，而需求等候一段时光逐步用力后才能把尿液排挤。还可表现为排尿时光延伸、射程变短、尿线变细等。\n2、尿失禁\n123下一页
094a1014973_OqFU1ACY6JFEMHLacKzxLA==|台中地区近年来饱受空污、霾害等不良天候影响，民众为了自保，纷纷利用百货业者购物节、耶诞节等节庆「满千送百」促销期间，掏钱购买空气清净机、抗敏吸尘器等小家电，带动上述小家电买气大幅成长3至5成。单一品牌耗材回购率甚至达7成，台中百货业者纷纷以周年庆的规格备货抢市，大发一笔空污财。\n台中大远百表示，包括空气清净机、抗敏吸尘器等小家电因气温骤冷、空污霾害等因素，近来询问度明显提高。其中，日本sharp水活力空气清净机jd系列，打出特价1.49万元，再送sharp速乾吹风机，带动业绩成长2成；幕厨居与英雄联盟联名ecovacs智慧吸尘机器人，特价7,990元，美国队长机身外型为一大卖点。\n广三sogo百货表示，目前尤其以hdc的blueair空气清净机最畅销，每台特价3万3,880元，带动销售量成长约5成；飞利浦的顶级凈化空气清净机，销售量成长约3成；lg的超净化大白空气清净机，在广告效应，加上特价1.59万元促销下，销售量续增；属黑马等级的日立加湿型清凈机，特价1.89万元，销售成长高达6成。\n另外，主打价格亲民路线的hengstyle空气清净机，每台平均售价不超过万元，近来销售量成长约3成，耗材回购率甚至高达7成。\n中友百货目前正值耶诞节促销档期，推出「全馆满千送百」活动，带动馆内家电销售量，包括3m、佳医、恒隆行、国际牌、夏普、honeywell等的空气清净机尤其热销。各品牌皆表示，近期空气清净机购买率达5成之多。\n其中佳医空气清净机自9月「中友购物节」起，就已是热销商品，目前仅剩大尺寸有现货；honeywell最高一天卖出10台、3m平均单日销售超过4台的佳绩，尤其小坪数尺寸，相当受新手爸妈青睐；至于国际牌，则打出nanoe奈米水离子功能，强调不需滤网，也受不少消费者喜爱。\n(工商时报)
a0e01014973_L7sNYQWoU95LKebYvrptPQ==|国家的智慧财产政策与科技发展关系密不可分，在国内从事智财服务逾40年的台一国际专利法律事务所，多年来台一参与了我国智财发展各个阶段，协助全国3万家以上客户创新研发与全球智财布局，总经理林景郁专利师强调，智财服务应跨入新纪元，必须提供较客户要求更有价值、更先进的服务。\n成立40年时，台一在所长桂齐恒律师规画下出版纪念文集，其中韩国篇是比较我国与韩国因智财规画的差异，创造出两国不同的创新风貌。韩国以「智慧财产框架法」来规画国家的智财前景，无论智财的推广、运用、保护都以此法为基础。并在每5年，配合新科技发展推出不同的智财目标（详见附图）。我国在2005年之前向美国专利申请案都胜过韩国，唯自2006年起两国之间差距就显现出来，韩国在2013年及2014年该国向美申请案以两位数成长，衡诸事实估计应与该国自2012年起推动第一个5年智慧财产计画带动研发创新有关。\n另文集中将以往已论述之专利法、商标法再加入最近数年修法动向及保护经过做整合，以补往日诸文之不足。着作权则首次拟就专文探讨，将我国近百年着作权变迁做论述。\n衡诸全球智财申请量，中国大陆用政策来带动智慧财产权发展，造就他们商标今年申请量超过500万件，专利今年亦将超过360万件。在40周年纪念文集中也以专篇讨论大陆的各种保护政策带动智慧财产的蓬勃。\n值此科技创新、知识经济的年代，唯有完善的智慧财产政策才能有效提升科技与国家竞争力。\n台一呼吁政府能制定国家级的智财政策，鼓励申请各项智慧财产权、并强化保护机制，协助企业运用智财来提升竞争力。期待能将智慧财产局提升为直属于行政院的智慧财产权署，使其能事权统一，更臻健全我国的智财制度。\n(工商时报)
f8351014973_trbUedGrjhJ+GHu0oIzAuw==|福懋（1434）和杜邦、正基科技合作研发成功的智慧温控衣，昨（15）日举行产品发表会，福懋总经理李敏章指出，温控衣将在明年秋冬上市，预计有5万片的产能，品牌客户已有两家准备要下销售样单，此外，包括ua、columbia、lululemon等十多家品牌厂商也都表达了兴趣。福懋智慧温控衣将在电商平台上行销，预计单价约6,000元。\n李敏章指出，此智能发热温控服饰科技，是将发热模组无缝接轨在布料基材上，再利用织物排线连接带有蓝牙功能的控制盒及行动电源，可通过手持装置如手机app，可以自行调整温度，最高可达摄氏50度。\n福懋指出，这件温控衣的核心技术包括发热模组、织物排线、控制盒及使用者介面，其中最关键的发热模组是采用杜邦最新的intexar智慧服饰本技，包括福懋布膜与导电回圈设计。\n福懋指出，自1950年以来，台湾纺织产业历经天然纤维、人造纤维染印技术及机能性布料三次大跃进，每一次的跃进都翻转纺织业及其供应链，并为产业带来产值的大幅成长。现在聚焦个人智慧穿戴服饰的开发，搭配云端传输运算与主、被动感测器带起的物联网应用，已成为纺织产业另一股新浪潮。\n李敏章表示，现在，机能性布料技术发展日趋成熟且逐渐面临红海竞争；期此次福懋推出的、从纤维材料改进，跨界及异业结合创新研发出的智能发热温控服饰科技，为纺织业带来新跃进。\n(工商时报)
ecc01008939_O83RQuLt44EIr2AFVng+sg==|原标题：贾跃亭四天两入老赖名单 他还有多少欠债未还？\n中新网北京12月16日电 (记者 程春雨)记者从中国执行信息公开网查询获知，11日因欠平安证券4.621亿元未还被法院第一次以自然人身份列为失信被执行人后，14日贾跃亭因与华福证券逾3亿元的纠纷再次被列为失信被执行人。\n失信被执行人俗称“老赖”。截至目前为此的两起案件，加上利息、违约金、申请执行费等，成为“老赖”的自然人贾跃亭未履行的债务已超8亿元。\n被列为“老赖”的两起案件已欠债约8亿元\n中国执行信息公开网信息显示，贾跃亭两次被列入被执行人的执行法院均为北京市第三中级人民法院，立案时间均是2017年9月28日，失信被执行人行为具体情形都是违反财产报告制度。\n具体上，贾跃亭涉及平安证券的生效法律文书确定的义务：向平安证券支付初始交易金额4.621亿元、利息414.98万元、违约金909.89万元(以对应的购回交易金额为基数，按照日万分之五的比率，计至贾跃亭实际清偿之日止，暂计至2017年6月27日)、执行证书公证费人民币142.6万元、律师费256万元。平安证券曾是乐视网上市保荐机构。\n涉及华福证券的生效法律文书确定的义务：向华福证券支付3.05亿元、违约金(按照每日15.25万元标准，自2017年6月22日起至实际支付之日止)、迟延履行期间的债务利息，申请执行费38.77万元以及执行中实际支出费用。\n中国执行信息公开网系统显示，上述两起案件中生效法律文书确定的义务，贾跃亭“全部未履行”。\n资料图：乐视创始人贾跃亭。\n贾跃亭还有多少欠债没还？\n据新京报日前报道，贾跃亭的公司在朝阳区，因此1亿以上标的额的执行案件都在所在地北京市第三中级人民法院处理。据不完全统计，目前以贾跃亭为被执行人的执行案件在北京市第三中级人民法院共有9起。申请执行人涉及信托公司、证券公司等，其中最大的标的额达14亿元，最小为2亿元。\n123下一页
c44f1008939_5ieaA3iljjfABDIsmdSdRw==|今年，新泰市把残疾人事业作为民生工作的重中之重来抓，以切实解决残疾人最关心、最直接、最现实的利益问题为中心，大力实施残疾人精准康复救助工程，为 3600 名有需求的残疾人免费提供基本型辅具，使残疾人的残障功能得到有效补偿，生活环境明显改善，生活质量明显提高。\n为切实把残疾儿童抢救性康复工作抓紧抓好，新泰市残联在泰安市 0-9 岁儿童的基础上增量扩面，将所有在定点机构中接受康复训练的各类残疾儿童都纳入服务对象，每人每年给予康复训练经费补助 2000 元。积极拓展家长培训和残疾儿童辅助器具适配，使更多残疾儿童的残障功能得到补偿和改善。\n2017 年，共有 264 名残疾儿童在康复机构中进行康复训练，共为 47 名 10-17 岁残疾儿童提供补助 9.4 万元。并对继续在定点康复机构中接受康复的原 2016 年度国家、省级 0-6 岁抢救性康复救助的跨年度项目儿童，延长 4 个月康复至 2017 年 12 月 31 日，每人每月补助资金 1000 元，真正做到儿康服务不留白、全衔接，确保有康复需求的残疾儿童一个不落，接受康复服务的比例达到 100%。\n" 孩子从七八个月的时候就发现不太正常，不会爬也不会走在家里面比较着急。听亲戚朋友说咱利民医院这边儿有一个国家救助项目，就问着来了，来了之后就一直享受着免费的项目，一直跟孩子在这做着康复。" 市民冯女士说。\n据了解，残疾人辅助器具适配对补偿残疾人自身残障功能、推动残疾人康复工作向纵深迈进起着非常重要的作用。市残联在做好儿童抢救性康复、残疾人辅助器具适配工作的同时，积极加强成人康复工作建设，在白内障复明手术、肢体残疾人功能康复、贫困重度精神残疾人康复治疗等方面多点开花。\n截至目前，新泰市市共有持证残疾人 3 万人，其中有康复需求的 6402 人，占持证残疾人的 21.34%，2017 年新泰的精准康复任务目标为 4608 人，已为 4706 人提供康复服务，其中配发辅具 3577 人，家庭无障碍改造 120 余户，装配成人助听器 35 件，安装大小腿假肢 34 例，辅具适配率达到 100%。\n"2017 年新泰市委、市政府将残疾人精准康复扶贫救助工程列入为民所办十件实事之一，市残联根据任务要求，重点实施三项救助项目：一是争取 0 — 9 岁残疾儿童抢救性康复资金 187 万元，对 180 名残疾儿童免费进行康复训练；二是争取精神残疾人救助资金 16 万元，为 100 名重度贫困精神病患者住院或服药实施救助；三是争取残疾人精准康复服务资金 137 万元，对 1476 名有康复需求的残疾人康复训练实施救助。目前，市残联已超额完成残疾人精准康复扶贫救助任务。" 市残联副理事长岳洪涛说。\n【最泰安全媒体记者 王晓宇 编辑 晁彤彤】\n1
c6cf1008939_V/k8mSb5E+BpvzOLImSIhQ==|在减肥这件事上，我们不仅想要有曼妙的身姿，小脸蛋当然也不能被落下啦，要不然不管你的身材有多苗条，人家一看到你的脸都会觉得你是个胖纸~毕竟现在是看脸的时代，但是这样很冤耶，不过没关系，小编来救你啦~小小的瘦脸术就能帮你减去脸部多余脂肪!\n以下12个动作，每个动作15-20次。坚持2-4周就能看到脸变小了哟!快来试试吧~\n开始按摩前的注意事项:1、开始前一定要涂抹按摩膏，不然会伤到皮肤;2、所有图的手法都是先从红线开始，再延伸到绿线步骤;3、标注红色的点，表示需要用力按压;4、大面积的红色渐变表示宽范围的推压。\n1.按摩准备动作:从耳边按摩至颈部\n2.额头浮肿和眉间皱纹大扫除:用力按压额头中央，轻轻滑动至颈部。\n3.消灭核桃眼和熊猫眼:由下眼睑外侧滑动至内眼角上，略施压，然后由眉骨下方移至外眼角，然后再次将手指由外眼角滑动到内眼角，再按原路返回到外眼角。在太阳穴处施压，顺着颈部按压至锁骨。\n1234下一页
85991008939_ExkOBEZQB0WeC7OsC7Q0Mw==|普京和特朗普首次见面的场景 【资料图】\n【环球时报驻美国、德国特约记者 李勇 青木环球时报记者 张雪婷 柳玉鹏 魏辉】美俄战机又斗上了,这次美国最先进的f-22“猛禽”还发射了干扰弹。不过对于“胜负”结果,双方的说法可是大不相同。\n五角大楼14日率先发难,称两架美国f-22战机此前一天紧急驱离越过叙利亚“非冲突区”分界线的俄罗斯战机,这一过程中f-22发射了曳光弹。美国官员同时强硬警告:俄军行动威胁到我们的空中或地面部队,“联军最大的担忧是,我们可能击落俄罗斯飞机”。\n14日,在年度大型记者会上,俄总统普京再次表达希望俄美关系得到改善的愿望,他还称赞特朗普短时间内在市场和经济方面取得了很多成就。俄罗斯卫星通讯社15日称,白宫新闻秘书桑德斯表示,特朗普感谢普京总统对美国经济成就的认可。克里姆林宫周五早上还发表声明说,普京和特朗普进行了电话会谈,商讨美俄双边关系及朝鲜半岛局势。\n然而,特朗普和普京之间的惺惺相惜却很难改变美国以及西方对俄罗斯的敌意,尤其是在特朗普阵营仍深陷“通俄门”调查的情况下。cnn15日称,美国国务院未能在10月1日第一个期限前发布制裁哪些俄军事和情报部门的指导意见,几乎晚了一个月才确定下来。所有人都在关注下一个期限——2018年1月29日,届时特朗普政府应确定哪些国家的哪些企业继续与俄罗斯受制裁实体开展业务,以及这些企业将面临什么制裁。文章的题目是“美国对俄罗斯的最新制裁正在推进中”。\n14日在布鲁塞尔举行的欧盟领导人会议上,欧洲理事会主席图斯克表示,28个成员国一致同意在2018年1月底到期后,将欧盟对俄罗斯的经济制裁再延长6个月。\n1
3e7f1005172_xoX3MWOJad6BVbT4l0zRdw==|
74f21005172_UWolUT4/Q5EiKTW8GX54eQ==|
1c4c1005904_vssMxJWRl9ucZwhXgWF6NQ==|35岁的演员高盟杰今年9月初被经纪人爆料，不仅欠债140万还吸毒赌博，而且到处跟人借钱不还，他虽然有出面解释，自己因为经济状况不好，根本没钱吸毒，纯粹是他想跟经纪人解约被对方报复所致，但并没有用，最後更惨遭华视8点档《春风爱河边》换角，身败名裂。\n根据苹果日报报导，高盟杰由於至今欠债约150万，合约纠纷又尚未解决，再加上债主不时催债，几周前竟吞下40颗安眠药打算自杀，甚至还在吞药前打电话给前妻，要她好好照顾读国二的儿子，但没想到高盟杰睡不到一天就醒了，对自己身体那么勇健感觉哭笑不得。
87841000812_IZS3tB132XvRsjhiArQS7w==|原标题： 总量减少5万 有效期延至1年\n[ 　　据新华社北京12月15日电（记者 丁静）为了控制小客车数量、缓解拥堵，北京市15日发布小客车指标配置新政，指标总量减少5万，但新能源车新增指标数量不变。同时，将6个月的指标有效期延长至1年。\n　　根据《关于2018年小客车指标总量和配置比例的通告》，2018年起，北京市每年15万小客车配置指标减少为10万。其中，新能源指标6万不变，普通指标由9万减少为4万。\n　　2018年起，指标配额将进一步向个人倾斜。其中个人普通指标占比从2017年的92%提高到95%，单位指标和营运指标分别占4%和1%。个人新能源指标占比从85%提高到90%，单位指标和营运指标各占年度配额的5%。\n　　同时，北京市对《北京市小客车数量调控暂行规定》进行了修订。原来6个月的指标有效期延长至1年，并增加了不予办理更新指标的四种情形：一是达到使用年限的；二是不符合机动车安全技术国家标准的；三是排放污染物或者噪声不符合国家标准的；四是连续3个检验周期未取得机动车检验合格标志的。\n　　为了配合对小客车增量的控制，北京市加大对公共交通的投入力度。据北京市交通委副主任容军介绍，北京市今年底将开通燕房线、西郊线和s1线三条轨道交通线路。到2020年，北京市轨道交通将达900公里，中心城区750米内的地铁站覆盖率达到90%。此外，将大力推动“地铁+地面公交+共享单车、步行”的绿色出行模式。] \n凤凰号\n推荐\n用微信扫描二维码\n分享至好友和朋友圈
e3591000812_6eAD6uj3QOYzC+qa/YYLig==|资料图\n原标题：美f-22发射曳光弹干扰俄战机 危险对峙令人提心吊胆\n【环球时报驻美国、德国特约记者李勇青木环球时报记者张雪婷柳玉鹏魏辉】美俄战机又斗上了，这次美国最先进的f-22“猛禽”还发射了干扰弹。不过对于“胜负”结果，双方的说法可是大不相同。\n五角大楼14日率先发难，称两架美国f-22战机此前一天紧急驱离越过叙利亚“非冲突区”分界线的俄罗斯战机，这一过程中f-22发射了曳光弹。美国官员同时强硬警告：俄军行动威胁到我们的空中或地面部队，“联军最大的担忧是，我们可能击落俄罗斯飞机”。\n俄国防部则嘲讽美国的说法是“一厢情愿的想法”，并给出自己的描述版本：苏-25遭受干扰之际，苏-35从后方接近f-22，迫使后者迅速离开。近日，普京刚以胜利者的姿态旋风式访问了叙利亚，并宣布开始从叙利亚撤军。但发生在该国上空的最新对峙事件表明，这里的大国争斗远没有结束。\n按照美国国防官员的说法，两架俄罗斯苏- 25战机周三越过幼发拉底河，进入叙利亚上空“非冲突区”东部，正在为地面“合作伙伴”提供空中掩护的两架美军f-22a战机迅速拦截。美国空军中央司令部发言人皮卡特说：“f-22做出多个动作，要求苏- 25离开我们的非冲突区空域，包括近距离释放箔条和曳光弹，并通过紧急频道呼叫，告诉俄罗斯飞行员他们需要离开该地区。”\n皮卡特指责俄罗斯飞行员在这场遭遇中进行危险飞行：一架苏- 25逼近f-22a，后者不得不“猛烈采取机动动作”避免空中撞机。他补充说，在这次事件中，一架俄罗斯苏-35战机也越过界线，被一架f-22紧紧地盯上。整个对峙事件持续了大约40分钟后，俄罗斯飞机才飞回幼发拉底河西侧。\n美国有线电视新闻网(cnn)称，美国总统特朗普和俄罗斯总统普京承诺将继续坚持消除冲突的措施。但皮卡特指责俄罗斯人多次违反协议，“11月初，我们通过防范冲突管道达成口头协议，俄罗斯将继续在幼发拉底河以西活动，联军则在河东部行动。自达成这项防范冲突协议后，俄罗斯人每天仍要闯入河东我们的空域6至8次，约占俄罗斯在叙利亚飞行活动的10%”。皮卡特警告说：“联军最大的担忧是，我们可能击落俄罗斯飞机，因为它的行动被视为威胁到我们的空中或地面部队。”\n《华盛顿邮报》称，俄罗斯战机是如此靠近“联军”的飞机，以致f-22发射曳光弹甚至用以迷惑雷达系统的箔条，以增加额外的“视觉警告”。五角大楼发言人埃里克路帕洪说，对峙过程中美方多次通过紧急频道呼叫，直到f- 22尾随上一架俄罗斯战机，高度紧张的时刻才结束。报道称，叙总统巴沙尔的军队在俄罗斯空军和地面顾问支持下击败叛乱组织后，叙利亚的天空已经成为老对手们争夺的另一个领域。美国国防部官员担心，不断的空中遭遇可能迅速加剧两国紧张关系，飞行员在时速数百英里的战机内瞬间做出决定，增大了误判的可能性，可能导致碰撞或击落事件。\n就这次“危险遭遇”，一些西方媒体也借机煽风点火。“华盛顿观察”网站不无耸动地称，俄罗斯很可能在未来几周轰炸在叙利亚的美国地面力量，“这是实事求是的评估，而非危言耸听”。德国《柏林日报》称，如果双方对峙升级，未来直接冲突也可能随时发生。凤凰号\n推荐\n用微信扫描二维码\n分享至好友和朋友圈
41e81014973_T5HWN6IrLz9Ri0ResLrGpA==|今年房巿小幅回温，但北市房市仍显疲弱，交易量仅较去年小增6％，弱于整体房市表现，北市房仲公会表示，预期明年房市会比今年略好，但仍有雨遮不记坪数、选举干扰及利率等3只黑天鹅；其中，利率将是最大变数，预估明年全国移转量能达28万栋已是万幸。\n今年国内房市已从房地合一税的泥淖中爬出来，加上基期低，各地交易量都有所增长，呈现「价跌量增」格局，呼应央行彭总裁所说的「软着陆」，最坏的情况似乎已经过去了，但六都当中，高房价的台北市信心恢复显得比较慢。\n根据今年前11月移转量推估，今年全国买卖移转件数可望落在26.5万～27万栋，与去年史上最低纪录24.5万栋比较，呈现8.2％～10.2％的年增率，但天龙国的台北市仅仅从去年的谷底小幅增长6％，与紧邻的新北市预估成长20.6％相较，更是逊色许多。\n台北市不动产仲介经纪业公会理事长郭子立表示，今年因房地合一税效应淡化、递延性买盘出笼，以及建商降价让利等因素催化，全台房屋交易量普遍都有所增长，反观北市房价本来就偏高，这波降价还是无法达到买方预期买点，因此交易量仍无法放大。\n他指出，台北市今年交易量只是让房市从冷冻库解冻，房仲业者还感受不到回春的暖流，目前很多房仲以已改往2楼以上楼面经营，主要在降低成本等待时机，此外，目前北市房仲会员公司家数770家，仍是近3年最低。\n展望明年，郭子立认为，明年一般预期市况会比今年好，其中关键还是价格要更亲民，但明年房市要注意3只黑天鹅，第一「屋檐雨遮不登记坪数」，此政策在今年底前已掀起一波抢照潮，这些抢照新供给将在明年房市中陆续释出，将为余屋所苦的市场平添变数。\n第二「选举年政治干扰」，明年底有县市长选举，选举纷扰及媒体版面的排挤效应，多少会影响民众购屋信心。\n第三，也是最大一只黑天鹅为「利率走势」，国际宽松、低利的环境已开始转变，今年美国联准会已经启动升息，预估明年还会升息3码，因此明年我国升息压力会越来越大，升息的脚步也将越来越近。\n(工商时报)
01a41008939_c7i0JxmS40O+nW2Mtr8Z9A==|今天在网上看见有人问这样的问题，以个人观点来分析一下\n其实回顾现代武器的发展史，仅以一战到现在分析，我们的枪是威力越来越大吗？\n并不是，威力普遍比较强的是一战时期，老式步枪发射的子弹动能是强于现在突击步枪的，是的，我们的武器动能在一点点下降，这里我说的是士兵的标准步枪，就是从栓式步枪到中间威力弹步枪再到小口径步枪\n哈？小编你的意思是我们的武器杀伤力越来越小了？也全不是，我们找到了另外的方法在降低动能的同时保正了足够的杀伤力，中间威力弹的兴起也许仅仅是因为一张照片，二战的集中营中一个德军士兵向被囚禁的人们射击，子弹穿过了第一个人，留下一个小洞，有穿透了第二个人留下一个碗大的洞，最后把第三个几乎拦腰打断，具体照片已经不可考，用这张照片代替一下吧。\n究竟是不是这张照片引起枪械设计师们的改变我们不得而知，但步枪杀伤力过剩是当时普遍存在的问题，于是就有了后来的stg44突击步枪，到这里为止，我们的武器杀伤力的确降低了，但火力却提升了，更易操控的枪支和在首发未命中时连续补射的能力使士兵火力大大加强，是的，单发的杀伤力降低换来的是总体的火力提升\n枪炮的轰鸣是最美的管弦乐，我们是铁与火的演奏者\n1
67ae300_e7064366d386c3b4574f1e210289f32b|阅读本文前，请您先点击上面的蓝色字体“国学文化之粹”，再点击“关注”，这样您就可以免费收到文章了。完全是免费订阅，请放心关注. 点上方绿标收听主播吴絮诵读美文 人和人的相处，是一门学问，要做好一点，真的不容易。离得太远了，关系就淡了；可靠得太近了，恩恩怨怨就来了。不管是家人朋友，还是同学同事，好起来时可以两人同穿一条裤子，闹翻后可以老死不相往来。 人生如尺，要有度。感情如面，别越界。人和人相处，一定要把握度，关系再好，也不要走得太近，否则最后也只能渐行渐远了。 希望所有50岁以后的朋友，都能牢牢记住，否则受伤的就是你自己！ 五十岁以后， 跟谁走得太近，都会是种伤害！ 朋友之间，太近扎人。言语上不注意，金钱上没分寸，行动里不知尊重，时间久了，谁都会远离。 亲人之间，天天面对面，打听下你的家里事，分享点小道消息，久而久之，烦了，厌了，远了。 家人之间，孩子的小家庭你非要介入，老伴的信息天天查看，每天粘着他们没了自我，最终感情却成了隔阂。 所以，要想和家人、亲朋好友之间和睦相处，就要保持一定的距离。 那在老年生活中，具体如何去保持合适的距离呢？这里有五点建议，供所有老年朋友参考！ 五十岁以后， 保持一定距离，生活更愉快！ 1、和老伴之间，给彼此留一点空间 夫妻相处之道，也就是把握夫妻间距离之道。夫妻之间，关系很亲密，但这并不意味着两者之间就不能有些小秘密。 特别是在兴趣爱好上有差别的老夫妻，不能强求对方要和自己有一样的爱好。要保持一定的距离，认同对方的喜好，然后有各自的朋友圈子，和睦愉快相处。 2、和子女之间，保持"一碗汤"的距离 随着社会的发展，越来越多的父母能够接受与子女间有一定的距离。但距离不太远，双方都能互相照顾，还可避免一些矛盾和麻烦。有界限、有距离、有联系、有守望，最佳的距离就是“一碗汤的距离”。 生活上，和子女保持“一碗汤”的距离，能常去看望他们，给他们送去一碗汤；心理上，也要和子女保持“一碗汤”的距离，不会因为太热而烫到他们，也不会因为太冷而凉了心意。 3、和亲人之间，不能没有恭敬心 亲情，是难以割舍的情感。和亲人相处，不要太随意，一定要有恭敬心。获得亲人的帮助要感谢，亲人有难处也要及时提供帮助。 亲人家中的事情，人家愿意说的就好好听着，不愿意说的就少打听，不要干涉，更加不要肆无忌惮。每个人心中都有不愿被别人涉足的角落，尊重他就是尊重你们的亲情。 4、和朋友之间，时刻牢记无所求 有些人和朋友关系亲近一点，就开始有各种要求，如果朋友不满足，就抱怨。这样的朋友相处起来，让人觉得心累。 真正的友情是纯粹的，不带功利的。朋友帮你是情分，不帮你是本分，不能用道德去绑架他们，要他们不限量地满足你的需求。 很多朋友关系越搞越糟糕，是因为向对方索求的太多了。这就是造成翻脸的原因。 5、和陌生人之间，见人宜说三分话 君子之交，淡如水。有些人是第一次见，有些人一年见一两次，和这些不熟悉的人相处，就算第一印象再好，也不能没有分寸。 不要试图窥探别人的隐私，说话留有余地，不能强人所难，说话不能不看时机。 50岁以后，爱情、亲情、友情，情情珍贵，所以和任何人都不要走得太近，给自己留一点缓和的余地，给别人一些自己的私人空间，这也许就是最美的距离了。 不必靠太近，各自都有各自的生活，不必离太远，我们的生活圈还有交际。距离产生美，其实就是，彼此尊重，彼此珍惜。 真是说到心坎里了，看完后，记得发给身边的朋友们看看吧！相信他（她）们看完也会深有同感的！
